"コード","銘柄名","市場","現在値","前日比(%)","ベータ(対TOPIX)"
"1301","極洋","東P","4435","-100.0(-2.21%)","0.61"
"1305","ｉＦＴＯＰＩＸ（年１回決算型）","東ETF","4101.0","-32.0(-0.77%)","0.98"
"1306","ＮＦ　ＴＯＰＩＸ連動型上場投信","東ETF","405.9","-4.0(-0.98%)","0.99"
"1308","上場インデックスファンドＴＯＰ","東ETF","4007.0","-40.0(-0.99%)","0.99"
"1309","上海株指数・上証５０連動型上場","東ETF","54010.0","-890.0(-1.62%)","0.44"
"130A","Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉ","東G","392","-40.0(-9.26%)","1.07"
"1311","ＮＦ　ＴＯＰＩＸ　Ｃｏｒｅ３０","東ETF","2013.0","+3.0(+0.15%)","1.04"
"1319","ＮＦ日経３００株価指数連動型","東ETF","712.1","-9.9(-1.37%)","0.48"
"1320","ｉＦ日経２２５（年１回決算型）","東ETF","63430.0","-640.0(-1.00%)","1.08"
"1321","ＮＦ日経２２５連動型上場投信","東ETF","63740.0","-540.0(-0.84%)","1.07"
"1322","中国Ａ株パンダＣＳＩ３００","東ETF","11915.0","-55.0(-0.46%)","0.46"
"1325","ＮＦボベスパ連動型上場投信","東ETF","302.0","-3.4(-1.11%)","0.62"
"1326","ＳＰＤＲゴールド・シェア","東ETF","66160.0","-450.0(-0.68%)","0.38"
"1328","ＮＦ金価格連動型上場投資信託","東ETF","17070.0","-95.0(-0.55%)","0.41"
"1329","ｉＳコア　日経２２５","東ETF","6338.0","-62.0(-0.97%)","1.07"
"1330","上場インデックスファンド２２５","東ETF","63780.0","-520.0(-0.81%)","1.09"
"1332","ニッスイ","東P","1315.5","+0.0(+0.00%)","0.69"
"1333","Ｕｍｉｏｓ","東P","1258.0","+3.0(+0.24%)","0.53"
"133A","グローバルＸ　超短期米国債","東ETF","1078.0","+2.0(+0.19%)","0.15"
"1343","ＮＦ東証ＲＥＩＴ連動型投信","東ETF","1948.0","-27.5(-1.39%)","0.23"
"1345","上場Ｊリート隔月分配型","東ETF","1848.0","-9.0(-0.48%)","0.25"
"1346","ＭＡＸＩＳ　日経２２５上場投信","東ETF","63360.0","-640.0(-1.00%)","1.05"
"1348","ＭＡＸＩＳ　トピックス上場投信","東ETF","4016.0","-29.0(-0.72%)","0.99"
"1349","ＡＢＦ汎アジア債券","東ETF","17760.0","+140.0(+0.79%)","0.23"
"1356","ＴＯＰＩＸベア２倍上場投信","東ETF","125.0","+2.4(+1.96%)","-2.02"
"1357","ＮＦ日経平均ダブルインバース","東ETF","3568.0","+68.0(+1.94%)","-2.23"
"1358","上場日経レバレッジ指数","東ETF","116700.0","-2,250.0(-1.89%)","2.14"
"135A","ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ","東G","4250","+390.0(+10.10%)","1.33"
"1360","日経平均ベア２倍上場投信","東ETF","87.6","+1.8(+2.10%)","-2.22"
"1364","ｉシェアーズ　ＪＰＸ日経４００","東ETF","3593.0","-67.0(-1.83%)","0.93"
"1365","ｉＦ日経平均レバレッジ","東ETF","3753.0","-70.0(-1.83%)","2.20"
"1366","ｉＦ日経平均ダブルインバース","東ETF","90.0","+2.0(+2.27%)","-2.22"
"1367","ｉＦＴＰＸレバレッジ（２倍）","東ETF","2766.0","-27.0(-0.97%)","1.97"
"1368","ｉＦＴＰＸダブルインバース","東ETF","182.0","+3.0(+1.68%)","-1.98"
"1369","ＤＩＡＭ　ＥＴＦ　日経２２５","東ETF","62120.0","-380.0(-0.61%)","1.04"
"1375","ユキグニファクトリー","東P","1057","-11.0(-1.03%)","0.38"
"1376","カネコ種苗","東S","1417","+5.0(+0.35%)","0.37"
"1377","サカタのタネ","東P","4075","-25.0(-0.61%)","0.45"
"1379","ホクト","東P","1918","+22.0(+1.16%)","0.30"
"137A","Ｃｏｃｏｌｉｖｅ","東G","710","-28.0(-3.79%)","0.86"
"1380","秋川牧園","東S","1001","-9.0(-0.89%)","0.14"
"1381","アクシーズ","東S","3965","-50.0(-1.25%)","0.20"
"1382","ホーブ","東S","1527","-12.0(-0.78%)","0.71"
"1383","ベルグアース","東S","2878","+10.0(+0.35%)","0.16"
"1384","ホクリヨウ","東S","2248","-255.0(-10.19%)","0.62"
"138A","光フードサービス","東G","3190","-15.0(-0.47%)","0.77"
"1397","ＳＭＤＡＭ日経２２５","東ETF","61490.0","-510.0(-0.82%)","1.08"
"1398","ＳＭＤＡＭ東証ＲＥＩＴ指数","東ETF","1868.5","-18.5(-0.98%)","0.25"
"1399","上場ＭＳＣＩ日本株高配当低ボラ","東ETF","2932.0","-14.0(-0.48%)","0.66"
"1401","エムビーエス","東G","1300","+20.0(+1.56%)","0.62"
"1407","ウエストＨＬＤＧ","東S","2980","-25.0(-0.83%)","0.76"
"140A","ｉＦ米国１０年国債先物インバ","東ETF","2011.0","+11.0(+0.55%)","0.03"
"1414","ショーボンドＨＬＤＧ","東P","1283.5","-36.0(-2.73%)","0.45"
"1417","ミライト・ワン","東P","3982.0","-59.0(-1.46%)","0.79"
"1418","インターライフＨＬＤＧ","東S","523","-5.0(-0.95%)","0.78"
"1419","タマホーム","東P","3600","-35.0(-0.96%)","0.46"
"141A","トライアルＨＬＤＧ","東G","2911","-659.0(-18.46%)","0.62"
"1420","サンヨーホームズ","東S","608","-6.0(-0.98%)","0.35"
"1429","日本アクア","東P","691","-23.0(-3.22%)","0.77"
"142A","ジンジブ","東G","950","+150.0(+18.75%)","0.82"
"1430","ファーストコーポレーション","東S","1030","-13.0(-1.25%)","0.60"
"1431","Ｌｉｂ　Ｗｏｒｋ","東G","638","-6.0(-0.93%)","0.59"
"1433","ベステラ","東P","1036","-6.0(-0.58%)","0.83"
"1434","ＪＥＳＣＯ　ＨＬＤＧ","東S","2270","-143.0(-5.93%)","1.11"
"1435","ｒｏｂｏｔ　ｈｏｍｅ","東S","169","-12.0(-6.63%)","1.03"
"1436","グリーンエナジー＆カンパニー","東G","1936","+83.0(+4.48%)","0.72"
"1438","岐阜造園","東S","1939","-11.0(-0.56%)","0.38"
"143A","イシン","東G","708","-11.0(-1.53%)","0.85"
"1443","技研ＨＬＤＧ","東S","280","-4.0(-1.41%)","0.80"
"1444","ニッソウ","東G","2775","+0.0(+0.00%)","0.53"
"1446","キャンディル","東S","521","+0.0(+0.00%)","0.46"
"1447","ＳＡＡＦＨＬＤＧ","東G","284","-17.0(-5.65%)","1.04"
"1449","ＦＵＪＩジャパン","札","-","- (-%)","0.17"
"1450","ＴＡＮＡＫＥＮ","東S","1453","+4.0(+0.28%)","0.41"
"1456","ｉＦ日経平均インバース","東ETF","1411.0","+14.0(+1.00%)","-1.10"
"1457","ｉＦＴＯＰＩＸインバース","東ETF","1906.0","+17.0(+0.90%)","-1.00"
"1458","楽天ＥＴＦ日経レバレッジ指数","東ETF","72660.0","-1,590.0(-2.14%)","2.19"
"1459","楽天ＥＴＦ日経ダブルインバース","東ETF","143.0","+1.0(+0.70%)","-2.19"
"145A","Ｌ　ｉｓ　Ｂ","東G","831","-24.0(-2.81%)","1.08"
"1466","ｉＦＪＰＸ４００ダブルインバ","東ETF","230.0","+2.0(+0.88%)","-1.79"
"1469","ＪＰＸ日経４００ベア２倍","東ETF","216.6","+2.5(+1.17%)","-1.71"
"146A","コロンビア・ワークス","東S","3125","-100.0(-3.10%)","1.19"
"1472","ＮＦ　ＪＰＸ４００ダブルインバ","東ETF","89.0","+1.0(+1.14%)","-1.71"
"1473","ＤＩＡＭ　ＥＴＦ　トピックス","東ETF","3931.0","-40.0(-1.01%)","0.97"
"1474","ＤＩＡＭ　ＪＰＸ日経４００","東ETF","35440.0","-90.0(-0.25%)","0.92"
"1475","ｉＳコア　ＴＯＰＩＸ","東ETF","396.0","-3.7(-0.93%)","0.98"
"1476","ｉＳコア　Ｊリート","東ETF","1867.0","-16.0(-0.85%)","0.23"
"1477","ｉシェアーズＭＳＣＩ最小分散","東ETF","3161.0","-5.0(-0.16%)","0.73"
"1478","ｉシェアーズＭＳＣＩ高配当","東ETF","5038.0","-87.0(-1.70%)","0.85"
"1479","ｉＦＭＳＣＩ日本株人材設備","東ETF","-","- (-%)","0.12"
"147A","ソラコム","東G","985","-4.0(-0.40%)","1.12"
"1480","ＮＦ野村企業価値分配指数連動型","東ETF","-","- (-%)","0.22"
"1481","上場日本経済貢献株","東ETF","3450.0","+0.0(+0.00%)","0.64"
"1482","ｉＳ米国債７―１０年円ヘッジ","東ETF","1559.0","-7.0(-0.45%)","-0.03"
"1483","ｉＳ　ＪＰＸ／Ｓ＆Ｐ設備・人材","東ETF","3394.0","+0.0(+0.00%)","0.59"
"1484","Ｏｎｅ設備人材投資","東ETF","3430.0","+0.0(+0.00%)","0.79"
"1485","ＭＸＳ積極投資企業２００上場","東ETF","50250.0","+0.0(+0.00%)","0.26"
"1486","上場米国債券（為替ヘッジなし）","東ETF","24180.0","-85.0(-0.35%)","0.12"
"1487","上場米国債券（為替ヘッジあり）","東ETF","12060.0","-65.0(-0.54%)","-0.02"
"1488","ＩＦ上場投信―東証ＲＥＩＴ","東ETF","1880.0","-22.0(-1.16%)","0.26"
"1489","ＮＦ日経平均高配当株５０指数","東ETF","3195.0","-57.0(-1.75%)","0.91"
"148A","ハッチ・ワーク","東G","1800","-7.0(-0.39%)","0.96"
"1490","上場ＭＳＣＩベータヘッジ","東ETF","-","- (-%)","-0.05"
"1491","中外鉱業","東S","771","-67.0(-8.00%)","0.89"
"1493","Ｏｎｅ　ＪＰＸ日経中小型","東ETF","25475.0","-110.0(-0.43%)","0.80"
"1494","Ｏｎｅ高配当日本株","東ETF","41930.0","-410.0(-0.97%)","0.59"
"1495","上場アジアリート","東ETF","11470.0","-230.0(-1.97%)","0.28"
"1496","ｉＳ米ドルＩＧ社債ヘッジ","東ETF","1666.0","-7.0(-0.42%)","0.07"
"1497","ｉＳ米ドルＨＹ社債ヘッジ","東ETF","1744.0","-8.0(-0.46%)","0.17"
"1498","Ｏｎｅ　ＥＴＦ　ＥＳＧ","東ETF","31440.0","-50.0(-0.16%)","1.04"
"1499","ＭＸＳ日本株高配当７０ＭＮ","東ETF","9070.0","-10.0(-0.11%)","0.06"
"149A","シンカ","東G","750","+8.0(+1.08%)","0.94"
"150A","ＪＳＨ","東G","356","-1.0(-0.28%)","0.74"
"1514","住石ＨＬＤＧ","東S","621","-83.0(-11.79%)","1.08"
"1515","日鉄鉱業","東P","2318","-290.0(-11.12%)","1.34"
"1518","三井松島ＨＬＤＧ","東P","1386","-19.0(-1.35%)","1.00"
"151A","ダイブ","東G","573","-1.0(-0.17%)","0.95"
"153A","カウリス","東G","1862","+92.0(+5.20%)","1.36"
"1540","純金上場信託","東ETF","21510.0","-185.0(-0.85%)","0.43"
"1541","純プラチナ上場信託","東ETF","9054.0","-187.0(-2.02%)","0.67"
"1542","純銀上場信託","東ETF","35130.0","-1,870.0(-5.05%)","0.73"
"1543","純パラジウム上場信託","東ETF","64700.0","-330.0(-0.51%)","0.47"
"1545","ＮＦ　ＮＡＳＤＡＱ―１００ヘな","東ETF","46400.0","-390.0(-0.83%)","0.95"
"1546","ＮＦダウ・ジョーンズ工業株３０","東ETF","76200.0","-1,130.0(-1.46%)","0.72"
"1547","上場米国株式Ｓ＆Ｐ５００","東ETF","12690.0","-120.0(-0.94%)","0.81"
"1550","ＭＸＳ外株（ＭＳＣＩコクサイ）","東ETF","7804.0","-70.0(-0.89%)","0.75"
"1551","東証スタンダードＴＯＰ２０","東ETF","7039.0","-260.0(-3.56%)","0.54"
"1553","ＭＡＸＩＳ　Ｓ＆Ｐ東海上場投信","名ETF","5326.0","+0.0(+0.00%)","0.64"
"1554","上場ＭＳＣＩ世界株式除く日本","東ETF","6520.0","-67.0(-1.02%)","0.76"
"1555","上場豪州リート","東ETF","2436.0","-57.0(-2.29%)","0.60"
"1557","ＳＳ　Ｓ＆Ｐ　５００　ＥＴＦ","東ETF","116750.0","-1,000.0(-0.85%)","0.72"
"1559","ＮＦタイ株式ＳＥＴ５０指数","東ETF","4461.0","-42.0(-0.93%)","0.53"
"155A","情報戦略テクノロジー","東G","880","-9.0(-1.01%)","1.13"
"1560","ＮＦ　ＦＴＳＥブルサＫＬＣＩ","東ETF","6914.0","-76.0(-1.09%)","0.36"
"1563","東証グロース・コアＥＴＦ","東ETF","2395.0","-49.0(-2.00%)","0.95"
"1566","上場新興国債券","東ETF","52910.0","-380.0(-0.71%)","0.23"
"1568","ＴＯＰＩＸブル２倍上場投信","東ETF","888.8","-20.4(-2.24%)","1.99"
"1569","ＴＯＰＩＸベア上場投信","東ETF","795.9","+3.1(+0.39%)","-1.01"
"156A","マテリアルグループ","東G","810","+23.0(+2.92%)","1.05"
"1570","ＮＦ日経レバ連動型上場投信","東ETF","60970.0","-1,270.0(-2.04%)","2.19"
"1571","ＮＦ日経インバ連動型上場投信","東ETF","331.0","+3.0(+0.91%)","-1.09"
"1572","中国Ｈ株ブル２倍上場投信","東ETF","7200.0","-180.0(-2.44%)","0.87"
"1573","中国Ｈ株ベア上場投信","東ETF","8270.0","+106.0(+1.30%)","-0.38"
"1577","ＮＦ野村日本株高配当７０連動型","東ETF","54110.0","-790.0(-1.44%)","0.85"
"1578","上場日経２２５（ミニ）","東ETF","4895.0","-42.0(-0.85%)","1.04"
"1579","日経平均ブル２倍上場投信","東ETF","658.4","-14.2(-2.11%)","2.21"
"157A","グリーンモンスター","東G","910","-24.0(-2.57%)","0.53"
"1580","日経平均ベア上場投信","東ETF","879.5","+9.0(+1.03%)","-1.11"
"1585","ｉＦＴＰＸ　Ｅｘ−Ｆｉｎ","東ETF","2587.0","-13.0(-0.50%)","0.65"
"1586","上場ＴＯＰＩＸ　Ｅｘ−Ｆｉｎ","東ETF","2960.0","-20.0(-0.67%)","0.89"
"1591","ＮＦ　ＪＰＸ日経４００連動型","東ETF","34820.0","-250.0(-0.71%)","0.85"
"1592","上場ＪＰＸ日経４００","東ETF","3215.0","-37.0(-1.14%)","0.91"
"1593","ＭＡＸＩＳ　ＪＰＸ日経４００","東ETF","35990.0","-630.0(-1.72%)","0.94"
"1595","ＮＺＡＭ東証ＲＥＩＴ指数","東ETF","1838.0","-30.0(-1.61%)","0.22"
"1596","ＮＺＡＭ　ＴＯＰＩＸ　Ｅｘ−Ｆ","東ETF","-","- (-%)","0.15"
"1597","ＭＡＸＩＳ　Ｊリート上場投信","東ETF","1862.0","-30.0(-1.59%)","0.22"
"1599","ｉＦ　ＪＰＸ日経４００","東ETF","35850.0","-140.0(-0.39%)","0.87"
"159A","ＮＦ　ＪＰＸプライム１５０","東ETF","682.6","-22.4(-3.18%)","0.87"
"1605","ＩＮＰＥＸ","東P","3934.0","+13.0(+0.33%)","0.87"
"160A","アズパートナーズ","東S","2194","+235.0(+12.00%)","0.93"
