
信用決済明細

取引区分指定,指定銘柄,決済開始年月日,決済終了年月日,明細数,明細指定開始,明細指定終了
"指定なし","指定なし","2026年05月08日","2026年05月17日","138","1","138"

決済損益合計
+310800

（注）明細数および合計金額はご指定された期間の合計です。

決済日,銘柄,銘柄コード,決済市場,取引,期限,預り,課税,建市場,建日,買/売建,決済数量,建単価,決済単価,建代金,決済代金,新規建手数料,決済手数料,管理費,貸株料,金利,日数,逆日歩,消費税,書換料,諸費用計,受渡日,受渡金額/決済損益
"2026/05/08","ＭｏｎｏｔａＲＯ","3064 ","PTS（X）","信用返済売","無期限","特定","申告","東証","2026/05/07","買建","100","1816.5","1826.5","181650","182650","--","--","--","--","27","2","--","--","--","27","2026/05/12","+973"
"2026/05/08","ＭｏｎｏｔａＲＯ","3064 ","PTS（O）","信用返済売","無期限","特定","申告","東証","2026/05/07","買建","100","1817.5","1849.3","181750","184930","--","--","--","--","27","2","--","--","--","27","2026/05/12","+3153"
"2026/05/08","ＭｏｎｏｔａＲＯ","3064 ","PTS（X）","信用返済売","無期限","特定","申告","東証","2026/05/07","買建","100","1817.5","1843.6","181750","184360","--","--","--","--","27","2","--","--","--","27","2026/05/12","+2583"
"2026/05/08","日東紡績","3110 ","PTS（X）","信用返済売","無期限","特定","申告","東証","2026/05/07","買建","100","31950","30680","3195000","3068000","--","--","--","--","490","2","--","--","--","490","2026/05/12","-127490"
"2026/05/08","ナブテスコ","6268 ","PTS（O）","信用返済売","無期限","特定","申告","東証","2026/04/27","買建","100","5032","5596.6","503200","559660","--","--","--","--","501","13","--","--","--","501","2026/05/12","+55959"
"2026/05/08","村田製作所","6981 ","PTS（X）","信用返済売","無期限","特定","申告","東証","2026/04/30","買建","200","5156","5839.6","1031200","1167920","--","--","--","--","474","6","--","--","--","474","2026/05/12","+136246"
"2026/05/08","村田製作所","6981 ","PTS（X）","信用返済売","無期限","特定","申告","東証","2026/04/30","買建","200","5166","5839.6","1033200","1167920","--","--","--","--","475","6","--","--","--","475","2026/05/12","+134245"
"2026/05/08","新明和工業","7224 ","PTS（X）","信用返済売","無期限","特定","申告","東証","2026/05/01","買建","100","2594","2608.3","259400","260830","--","--","--","--","99","5","--","--","--","99","2026/05/12","+1331"
"2026/05/08","新明和工業","7224 ","PTS（J）","信用返済売","無期限","特定","申告","東証","2026/05/01","買建","100","2594","2595.1","259400","259510","--","--","--","--","99","5","--","--","--","99","2026/05/12","+11"
"2026/05/11","アストロスケールホールディングス","186A ","東証","信用返済売","無期限","特定","申告","PTS","2026/05/08","買建","100","1465.8","1787","146580","178700","--","--","--","--","22","2","--","--","--","22","2026/05/13","+32098"
"2026/05/11","アストロスケールホールディングス","186A ","東証","信用返済売","無期限","特定","申告","東証","2026/05/07","買建","100","1413","1787","141300","178700","--","--","--","--","32","3","--","--","--","32","2026/05/13","+37368"
"2026/05/11","アストロスケールホールディングス","186A ","東証","信用返済売","無期限","特定","申告","PTS","2026/05/08","買建","100","1467.9","1787","146790","178700","--","--","--","--","22","2","--","--","--","22","2026/05/13","+31888"
"2026/05/11","アストロスケールホールディングス","186A ","PTS（X）","信用返済売","無期限","特定","申告","東証","2026/05/01","買建","900","1310","1787.2","1179000","1608480","--","--","--","--","542","6","--","--","--","542","2026/05/13","+428938"
"2026/05/11","アストロスケールホールディングス","186A ","東証","信用返済売","無期限","特定","申告","PTS","2026/05/08","買建","100","1463.9","1787","146390","178700","--","--","--","--","22","2","--","--","--","22","2026/05/13","+32288"
"2026/05/11","アストロスケールホールディングス","186A ","PTS（X）","信用返済売","無期限","特定","申告","東証","2026/05/01","買建","100","1310","1787","131000","178700","--","--","--","--","60","6","--","--","--","60","2026/05/13","+47640"
"2026/05/11","アストロスケールホールディングス","186A ","PTS（X）","信用返済売","無期限","特定","申告","東証","2026/05/01","買建","100","1310","1787.1","131000","178710","--","--","--","--","60","6","--","--","--","60","2026/05/13","+47650"
"2026/05/11","ＭｏｎｏｔａＲＯ","3064 ","PTS（O）","信用返済売","無期限","特定","申告","PTS","2026/05/07","買建","100","1817.2","1775.8","181720","177580","--","--","--","--","41","3","--","--","--","41","2026/05/13","-4181"
"2026/05/11","ＭｏｎｏｔａＲＯ","3064 ","PTS（X）","信用返済売","無期限","特定","申告","PTS","2026/05/07","買建","200","1817.5","1775.7","363500","355140","--","--","--","--","83","3","--","--","--","83","2026/05/13","-8443"
"2026/05/11","ＭｏｎｏｔａＲＯ","3064 ","PTS（O）","信用返済売","無期限","特定","申告","PTS","2026/05/07","買建","100","1817.3","1775.6","181730","177560","--","--","--","--","41","3","--","--","--","41","2026/05/13","-4211"
"2026/05/11","ＭｏｎｏｔａＲＯ","3064 ","PTS（J）","信用返済売","無期限","特定","申告","PTS","2026/05/07","買建","100","1817.2","1775.5","181720","177550","--","--","--","--","41","3","--","--","--","41","2026/05/13","-4211"
"2026/05/11","ＭｏｎｏｔａＲＯ","3064 ","PTS（X）","信用返済売","無期限","特定","申告","PTS","2026/05/07","買建","200","1817.2","1775.8","363440","355160","--","--","--","--","83","3","--","--","--","83","2026/05/13","-8363"
"2026/05/11","ＭｏｎｏｔａＲＯ","3064 ","PTS（O）","信用返済売","無期限","特定","申告","PTS","2026/05/07","買建","100","1817.5","1775.6","181750","177560","--","--","--","--","41","3","--","--","--","41","2026/05/13","-4231"
"2026/05/11","ＭｏｎｏｔａＲＯ","3064 ","PTS（X）","信用返済売","無期限","特定","申告","PTS","2026/05/07","買建","200","1840.5","1775.6","368100","355120","--","--","--","--","84","3","--","--","--","84","2026/05/13","-13064"
"2026/05/11","ＤＯＷＡホールディングス","5714 ","PTS（X）","信用返済売","無期限","特定","申告","PTS","2026/05/11","買建","100","10428.5","10325","1042850","1032500","--","--","--","--","79","1","--","--","--","79","2026/05/13","-10429"
"2026/05/11","ナブテスコ","6268 ","PTS（X）","信用返済売","無期限","特定","申告","東証","2026/04/27","買建","100","5032","5700.2","503200","570020","--","--","--","--","540","14","--","--","--","540","2026/05/13","+66280"
"2026/05/11","ナブテスコ","6268 ","PTS（O）","信用返済売","無期限","特定","申告","PTS","2026/04/30","買建","100","5063.6","5700.1","506360","570010","--","--","--","--","271","7","--","--","--","271","2026/05/13","+63379"
"2026/05/11","ナブテスコ","6268 ","東証","信用返済売","無期限","特定","申告","東証","2026/05/07","買建","100","5253","5700","525300","570000","--","--","--","--","120","3","--","--","--","120","2026/05/13","+44580"
"2026/05/11","ナブテスコ","6268 ","PTS（O）","信用返済売","無期限","特定","申告","東証","2026/04/27","買建","100","5032","5700.2","503200","570020","--","--","--","--","540","14","--","--","--","540","2026/05/13","+66280"
"2026/05/11","ＱＤレーザ","6613 ","PTS（X）","信用返済売","無期限","特定","申告","PTS","2026/05/08","買建","100","1862.7","1703.4","186270","170340","--","--","--","--","28","2","--","--","--","28","2026/05/13","-15958"
"2026/05/11","ＱＤレーザ","6613 ","PTS（X）","信用返済売","無期限","特定","申告","東証","2026/05/08","買建","300","1863","1703.4","558900","511020","--","--","--","--","85","2","--","--","--","85","2026/05/13","-47965"
"2026/05/11","ＱＤレーザ","6613 ","PTS（X）","信用返済売","無期限","特定","申告","東証","2026/05/08","買建","300","1864","1703.4","559200","511020","--","--","--","--","85","2","--","--","--","85","2026/05/13","-48265"
"2026/05/11","ＱＤレーザ","6613 ","PTS（X）","信用返済売","無期限","特定","申告","東証","2026/05/08","買建","200","1853","1703.4","370600","340680","--","--","--","--","56","2","--","--","--","56","2026/05/13","-29976"
"2026/05/11","太陽誘電","6976 ","PTS（X）","信用返済売","無期限","特定","申告","PTS","2026/05/08","買建","100","6642.8","6634.1","664280","663410","--","--","--","--","101","2","--","--","--","101","2026/05/13","-971"
"2026/05/11","新明和工業","7224 ","PTS（X）","信用返済売","無期限","特定","申告","PTS","2026/05/01","買建","100","2613.4","2572.4","261340","257240","--","--","--","--","120","6","--","--","--","120","2026/05/13","-4220"
"2026/05/11","新明和工業","7224 ","PTS（X）","信用返済売","無期限","特定","申告","東証","2026/05/01","買建","100","2594","2572.7","259400","257270","--","--","--","--","119","6","--","--","--","119","2026/05/13","-2249"
"2026/05/11","新明和工業","7224 ","PTS（O）","信用返済売","無期限","特定","申告","東証","2026/05/07","買建","100","2695","2572.1","269500","257210","--","--","--","--","62","3","--","--","--","62","2026/05/13","-12352"
"2026/05/11","新明和工業","7224 ","PTS（X）","信用返済売","無期限","特定","申告","東証","2026/05/07","買建","100","2695","2572.1","269500","257210","--","--","--","--","62","3","--","--","--","62","2026/05/13","-12352"
"2026/05/11","新明和工業","7224 ","PTS（O）","信用返済売","無期限","特定","申告","PTS","2026/05/01","買建","100","2613.3","2572.7","261330","257270","--","--","--","--","120","6","--","--","--","120","2026/05/13","-4180"
"2026/05/11","新明和工業","7224 ","PTS（J）","信用返済売","無期限","特定","申告","PTS","2026/05/01","買建","100","2613.1","2572.1","261310","257210","--","--","--","--","120","6","--","--","--","120","2026/05/13","-4220"
"2026/05/12","味の素","2802 ","PTS（X）","信用返済売","無期限","特定","申告","東証","2026/04/24","買建","100","4844","5461","484400","546100","--","--","--","--","631","17","--","--","--","631","2026/05/14","+61069"
"2026/05/12","味の素","2802 ","PTS（X）","信用返済売","無期限","特定","申告","PTS","2026/04/24","買建","100","4843.8","5461","484380","546100","--","--","--","--","631","17","--","--","--","631","2026/05/14","+61089"
"2026/05/12","味の素","2802 ","PTS（X）","信用返済売","無期限","特定","申告","PTS","2026/04/24","買建","100","4843.9","5461","484390","546100","--","--","--","--","631","17","--","--","--","631","2026/05/14","+61079"
"2026/05/12","味の素","2802 ","PTS（X）","信用返済売","無期限","特定","申告","東証","2026/05/11","買建","100","5499","5461","549900","546100","--","--","--","--","84","2","--","--","--","84","2026/05/14","-3884"
"2026/05/12","味の素","2802 ","PTS（X）","信用返済売","無期限","特定","申告","東証","2026/04/30","買建","100","5090","5461","509000","546100","--","--","--","--","312","8","--","--","--","312","2026/05/14","+36788"
"2026/05/12","イビデン","4062 ","PTS（X）","信用返済売","無期限","特定","申告","PTS","2026/05/11","買建","100","15602","16417","1560200","1641700","--","--","--","--","239","2","--","--","--","239","2026/05/14","+81261"
"2026/05/12","ステラ　ケミファ","4109 ","PTS（X）","信用返済売","無期限","特定","申告","PTS","2026/05/11","買建","100","6049","6061","604900","606100","--","--","--","--","92","2","--","--","--","92","2026/05/14","+1108"
"2026/05/12","ＪＭＤＣ","4483 ","PTS（X）","信用返済売","無期限","特定","申告","東証","2026/05/08","買建","100","3335","2413.7","333500","241370","--","--","--","--","76","3","--","--","--","76","2026/05/14","-92206"
"2026/05/12","ＪＭＤＣ","4483 ","PTS（X）","信用返済売","無期限","特定","申告","PTS","2026/05/08","買建","100","3404","2413.7","340400","241370","--","--","--","--","78","3","--","--","--","78","2026/05/14","-99108"
"2026/05/12","ＪＭＤＣ","4483 ","PTS（X）","信用返済売","無期限","特定","申告","PTS","2026/05/08","買建","100","3395","2413.7","339500","241370","--","--","--","--","78","3","--","--","--","78","2026/05/14","-98208"
"2026/05/12","日本電子材料","6855 ","PTS（X）","信用返済売","無期限","特定","申告","東証","2026/04/30","買建","100","7040","8093","704000","809300","--","--","--","--","432","8","--","--","--","432","2026/05/14","+104868"
"2026/05/12","日本電子材料","6855 ","PTS（X）","信用返済売","無期限","特定","申告","PTS","2026/04/30","買建","100","7036","8093","703600","809300","--","--","--","--","431","8","--","--","--","431","2026/05/14","+105269"
"2026/05/12","日本電子材料","6855 ","PTS（X）","信用返済売","無期限","特定","申告","PTS","2026/04/30","買建","100","7155","8093","715500","809300","--","--","--","--","439","8","--","--","--","439","2026/05/14","+93361"
"2026/05/12","日本ケミコン","6997 ","東証","信用返済売","無期限","特定","申告","PTS","2026/05/08","買建","100","3180","3205","318000","320500","--","--","--","--","73","3","--","--","--","73","2026/05/14","+2427"
"2026/05/12","日本ケミコン","6997 ","PTS（X）","信用返済売","無期限","特定","申告","東証","2026/05/08","買建","100","3180","3206.5","318000","320650","--","--","--","--","73","3","--","--","--","73","2026/05/14","+2577"
"2026/05/12","日本ケミコン","6997 ","PTS（X）","信用返済売","無期限","特定","申告","PTS","2026/05/08","買建","100","3179","3208","317900","320800","--","--","--","--","73","3","--","--","--","73","2026/05/14","+2827"
"2026/05/12","日本ケミコン","6997 ","PTS（O）","信用返済売","無期限","特定","申告","東証","2026/05/08","買建","100","3180","3205.5","318000","320550","--","--","--","--","73","3","--","--","--","73","2026/05/14","+2477"
"2026/05/12","日本ケミコン","6997 ","PTS（X）","信用返済売","無期限","特定","申告","東証","2026/05/08","買建","100","3180","3205.5","318000","320550","--","--","--","--","73","3","--","--","--","73","2026/05/14","+2477"
"2026/05/12","日本ケミコン","6997 ","PTS（O）","信用返済売","無期限","特定","申告","東証","2026/05/08","買建","100","3180","3208","318000","320800","--","--","--","--","73","3","--","--","--","73","2026/05/14","+2727"
"2026/05/12","アシックス","7936 ","PTS（X）","信用返済売","無期限","特定","申告","PTS","2026/05/11","買建","100","4760.9","4858.3","476090","485830","--","--","--","--","73","2","--","--","--","73","2026/05/14","+9667"
