
約定履歴照会 

商品指定,約定開始年月日,約定終了年月日,明細数,明細指定開始,明細指定終了
"株式信用","2026年05月08日","2026年05月17日","233","1","233"

（注）明細数はご指定された期間の合計です。

約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
"2026/05/08","ＭｏｎｏｔａＲＯ","3064","PTS（X）",信用返済売,"無期限"," 特定 ","申告",100,1826.5,27,--,"2026/05/12",973
"2026/05/08","ＭｏｎｏｔａＲＯ","3064","PTS（O）",信用返済売,"無期限"," 特定 ","申告",100,1849.3,27,--,"2026/05/12",3153
"2026/05/08","ＭｏｎｏｔａＲＯ","3064","PTS（X）",信用返済売,"無期限"," 特定 ","申告",100,1843.6,27,--,"2026/05/12",2583
"2026/05/08","日東紡績","3110","PTS（X）",信用返済売,"無期限"," 特定 ","申告",100,30680,490,--,"2026/05/12",-127490
"2026/05/08","ナブテスコ","6268","PTS（O）",信用返済売,"無期限"," 特定 ","申告",100,5596.6,501,--,"2026/05/12",55959
"2026/05/08","村田製作所","6981","PTS（X）",信用返済売,"無期限"," 特定 ","申告",200,5839.6,474,--,"2026/05/12",136246
"2026/05/08","村田製作所","6981","PTS（X）",信用返済売,"無期限"," 特定 ","申告",200,5839.6,475,--,"2026/05/12",134245
"2026/05/08","新明和工業","7224","PTS（J）",信用返済売,"無期限"," 特定 ","申告",100,2595.1,99,--,"2026/05/12",11
"2026/05/08","新明和工業","7224","PTS（X）",信用返済売,"無期限"," 特定 ","申告",100,2608.3,99,--,"2026/05/12",1331
"2026/05/08","アストロスケールホールディングス","186A","PTS（X）",信用新規買,"無期限"," 特定 ","--",100,1465.8,--,--,"2026/05/12",--
"2026/05/08","アストロスケールホールディングス","186A","PTS（X）",信用新規買,"無期限"," 特定 ","--",100,1463.9,--,--,"2026/05/12",--
"2026/05/08","アストロスケールホールディングス","186A","PTS（X）",信用新規買,"無期限"," 特定 ","--",100,1467.9,--,--,"2026/05/12",--
"2026/05/08","Ｓａｎｓａｎ","4443","PTS（X）",信用新規買,"無期限"," 特定 ","--",100,1313.9,--,--,"2026/05/12",--
"2026/05/08","Ｓａｎｓａｎ","4443","PTS（X）",信用新規買,"無期限"," 特定 ","--",200,1312.8,--,--,"2026/05/12",--
"2026/05/08","Ｓａｎｓａｎ","4443","東証",信用新規買,"無期限"," 特定 ","--",100,1314,--,--,"2026/05/12",--
"2026/05/08","Ｓａｎｓａｎ","4443","東証",信用新規買,"無期限"," 特定 ","--",800,1313,--,--,"2026/05/12",--
"2026/05/08","Ｓａｎｓａｎ","4443","東証",信用新規買,"無期限"," 特定 ","--",100,1319,--,--,"2026/05/12",--
"2026/05/08","Ｓａｎｓａｎ","4443","PTS（X）",信用新規買,"無期限"," 特定 ","--",100,1312.9,--,--,"2026/05/12",--
"2026/05/08","ＪＭＤＣ","4483","PTS（X）",信用新規買,"無期限"," 特定 ","--",200,3394,--,--,"2026/05/12",--
"2026/05/08","ＪＭＤＣ","4483","PTS（X）",信用新規買,"無期限"," 特定 ","--",100,3404,--,--,"2026/05/12",--
"2026/05/08","ＪＭＤＣ","4483","PTS（X）",信用新規買,"無期限"," 特定 ","--",100,3394.5,--,--,"2026/05/12",--
"2026/05/08","ＪＭＤＣ","4483","東証",信用新規買,"無期限"," 特定 ","--",100,3335,--,--,"2026/05/12",--
"2026/05/08","ＪＭＤＣ","4483","PTS（X）",信用新規買,"無期限"," 特定 ","--",100,3395,--,--,"2026/05/12",--
"2026/05/08","ＱＤレーザ","6613","東証",信用新規買,"無期限"," 特定 ","--",300,1863,--,--,"2026/05/12",--
"2026/05/08","ＱＤレーザ","6613","PTS（J）",信用新規買,"無期限"," 特定 ","--",100,1862.7,--,--,"2026/05/12",--
"2026/05/08","ＱＤレーザ","6613","東証",信用新規買,"無期限"," 特定 ","--",200,1853,--,--,"2026/05/12",--
"2026/05/08","ＱＤレーザ","6613","東証",信用新規買,"無期限"," 特定 ","--",300,1864,--,--,"2026/05/12",--
"2026/05/08","太陽誘電","6976","PTS（X）",信用新規買,"無期限"," 特定 ","--",100,6642.8,--,--,"2026/05/12",--
"2026/05/08","日本ケミコン","6997","東証",信用新規買,"無期限"," 特定 ","--",400,3180,--,--,"2026/05/12",--
"2026/05/08","日本ケミコン","6997","PTS（X）",信用新規買,"無期限"," 特定 ","--",100,3180,--,--,"2026/05/12",--
"2026/05/08","日本ケミコン","6997","PTS（X）",信用新規買,"無期限"," 特定 ","--",100,3179,--,--,"2026/05/12",--
"2026/05/11","アストロスケールホールディングス","186A","PTS（X）",信用返済売,"無期限"," 特定 ","申告",100,1787.1,60,--,"2026/05/13",47650
"2026/05/11","アストロスケールホールディングス","186A","PTS（X）",信用返済売,"無期限"," 特定 ","申告",100,1787,60,--,"2026/05/13",47640
"2026/05/11","アストロスケールホールディングス","186A","PTS（X）",信用返済売,"無期限"," 特定 ","申告",900,1787.2,542,--,"2026/05/13",428938
"2026/05/11","アストロスケールホールディングス","186A","東証",信用返済売,"無期限"," 特定 ","申告",100,1787,22,--,"2026/05/13",31888
"2026/05/11","アストロスケールホールディングス","186A","東証",信用返済売,"無期限"," 特定 ","申告",100,1787,32,--,"2026/05/13",37368
"2026/05/11","アストロスケールホールディングス","186A","東証",信用返済売,"無期限"," 特定 ","申告",100,1787,22,--,"2026/05/13",32098
"2026/05/11","アストロスケールホールディングス","186A","東証",信用返済売,"無期限"," 特定 ","申告",100,1787,22,--,"2026/05/13",32288
"2026/05/11","ＭｏｎｏｔａＲＯ","3064","PTS（X）",信用返済売,"無期限"," 特定 ","申告",200,1775.6,84,--,"2026/05/13",-13064
"2026/05/11","ＭｏｎｏｔａＲＯ","3064","PTS（J）",信用返済売,"無期限"," 特定 ","申告",100,1775.5,41,--,"2026/05/13",-4211
"2026/05/11","ＭｏｎｏｔａＲＯ","3064","PTS（X）",信用返済売,"無期限"," 特定 ","申告",200,1775.7,83,--,"2026/05/13",-8443
"2026/05/11","ＭｏｎｏｔａＲＯ","3064","PTS（O）",信用返済売,"無期限"," 特定 ","申告",100,1775.8,41,--,"2026/05/13",-4181
"2026/05/11","ＭｏｎｏｔａＲＯ","3064","PTS（X）",信用返済売,"無期限"," 特定 ","申告",200,1775.8,83,--,"2026/05/13",-8363
"2026/05/11","ＭｏｎｏｔａＲＯ","3064","PTS（O）",信用返済売,"無期限"," 特定 ","申告",100,1775.6,41,--,"2026/05/13",-4211
"2026/05/11","ＭｏｎｏｔａＲＯ","3064","PTS（O）",信用返済売,"無期限"," 特定 ","申告",100,1775.6,41,--,"2026/05/13",-4231
"2026/05/11","ＤＯＷＡホールディングス","5714","PTS（X）",信用返済売,"無期限"," 特定 ","申告",100,10325,79,--,"2026/05/13",-10429
"2026/05/11","ナブテスコ","6268","PTS（O）",信用返済売,"無期限"," 特定 ","申告",100,5700.2,540,--,"2026/05/13",66280
"2026/05/11","ナブテスコ","6268","PTS（O）",信用返済売,"無期限"," 特定 ","申告",100,5700.1,271,--,"2026/05/13",63379
"2026/05/11","ナブテスコ","6268","東証",信用返済売,"無期限"," 特定 ","申告",100,5700,120,--,"2026/05/13",44580
"2026/05/11","ナブテスコ","6268","PTS（X）",信用返済売,"無期限"," 特定 ","申告",100,5700.2,540,--,"2026/05/13",66280
"2026/05/11","ＱＤレーザ","6613","PTS（X）",信用返済売,"無期限"," 特定 ","申告",100,1703.4,28,--,"2026/05/13",-15958
"2026/05/11","ＱＤレーザ","6613","PTS（X）",信用返済売,"無期限"," 特定 ","申告",300,1703.4,85,--,"2026/05/13",-47965
"2026/05/11","ＱＤレーザ","6613","PTS（X）",信用返済売,"無期限"," 特定 ","申告",300,1703.4,85,--,"2026/05/13",-48265
"2026/05/11","ＱＤレーザ","6613","PTS（X）",信用返済売,"無期限"," 特定 ","申告",200,1703.4,56,--,"2026/05/13",-29976
"2026/05/11","太陽誘電","6976","PTS（X）",信用返済売,"無期限"," 特定 ","申告",100,6634.1,101,--,"2026/05/13",-971
"2026/05/11","新明和工業","7224","PTS（X）",信用返済売,"無期限"," 特定 ","申告",100,2572.4,120,--,"2026/05/13",-4220
"2026/05/11","新明和工業","7224","PTS（J）",信用返済売,"無期限"," 特定 ","申告",100,2572.1,120,--,"2026/05/13",-4220
"2026/05/11","新明和工業","7224","PTS（X）",信用返済売,"無期限"," 特定 ","申告",100,2572.7,119,--,"2026/05/13",-2249
"2026/05/11","新明和工業","7224","PTS（O）",信用返済売,"無期限"," 特定 ","申告",100,2572.1,62,--,"2026/05/13",-12352
"2026/05/11","新明和工業","7224","PTS（X）",信用返済売,"無期限"," 特定 ","申告",100,2572.1,62,--,"2026/05/13",-12352
"2026/05/11","新明和工業","7224","PTS（O）",信用返済売,"無期限"," 特定 ","申告",100,2572.7,120,--,"2026/05/13",-4180
