
信用決済明細

取引区分指定,指定銘柄,決済開始年月日,決済終了年月日,明細数,明細指定開始,明細指定終了
"指定なし","指定なし","2025年09月26日","2026年06月06日","1544","1","1544"

決済損益合計
+6576901

（注）明細数および合計金額はご指定された期間の合計です。

決済日,銘柄,銘柄コード,決済市場,取引,期限,預り,課税,建市場,建日,買/売建,決済数量,建単価,決済単価,建代金,決済代金,新規建手数料,決済手数料,管理費,貸株料,金利,日数,逆日歩,消費税,書換料,諸費用計,受渡日,受渡金額/決済損益
"2025/09/26","ＶＴホールディングス","7593 ","PTS（X）","信用返済買","6ヶ月","特定","申告","東証","2025/09/26","売建","100","496","496.5","49600","49650","--","--","--","1","--","1","--","--","--","1","2025/09/30","-51"
"2025/10/22","ルネサスエレクトロニクス","6723 ","PTS（X）","信用返済売","無期限","特定","申告","東証","2025/10/16","買建","200","1932.5","1953.5","386500","390700","--","--","--","--","148","5","--","--","--","148","2025/10/24","+4052"
"2025/10/28","楽天グループ","4755 ","PTS（O）","信用返済売","無期限","特定","申告","東証","2025/10/24","買建","100","993.5","990.7","99350","99070","--","--","--","--","22","3","--","--","--","22","2025/10/30","-302"
"2025/10/28","キヤノン電子","7739 ","PTS（X）","信用返済売","無期限","特定","申告","東証","2025/10/27","買建","100","2832","2650.1","283200","265010","--","--","--","--","43","2","--","--","--","43","2025/10/30","-18233"
"2025/10/30","ＮＥＸＴ　ＦＵＮＤＳ　日経平均レバレッジ・インデックス連動型","1570 ","PTS（X）","信用返済買","6ヶ月","特定","申告","東証","2025/10/27","売建","2","43560","44840","87120","89680","--","--","--","18","--","7","50","--","--","68","2025/11/04","-2628"
"2025/10/30","ＮＥＸＴ　ＦＵＮＤＳ　日経平均レバレッジ・インデックス連動型","1570 ","PTS（X）","信用返済買","6ヶ月","特定","申告","東証","2025/10/27","売建","10","43560","44840","435600","448400","--","--","--","91","--","7","250","--","--","341","2025/11/04","-13141"
"2025/10/31","さくらインターネット","3778 ","東証","信用返済売","無期限","特定","申告","東証","2025/10/28","買建","100","3300","3440","330000","344000","--","--","--","--","177","7","--","--","--","177","2025/11/05","+13823"
"2025/10/31","さくらインターネット","3778 ","東証","信用返済売","無期限","特定","申告","東証","2025/10/22","買建","100","3355","3440","335500","344000","--","--","--","--","334","13","--","--","--","334","2025/11/05","+8166"
"2025/10/31","ＩＨＩ","7013 ","PTS（X）","信用返済売","無期限","特定","申告","東証","2025/10/22","買建","100","3021","3203.4","302100","320340","--","--","--","--","301","13","--","--","--","301","2025/11/05","+17939"
"2025/10/31","ＮＥＸＴ　ＦＵＮＤＳ　日経平均レバレッジ・インデックス連動型","1570 ","PTS（X）","信用返済売","無期限","特定","申告","東証","2025/10/30","買建","12","45110","46520","541320","558240","--","--","--","--","83","2","--","--","--","83","2025/11/05","+16837"
"2025/11/04","日本精線","5659 ","PTS（X）","信用返済売","無期限","特定","申告","東証","2025/10/31","買建","100","1110","1101.4","111000","110140","--","--","--","--","17","2","--","--","--","17","2025/11/06","-877"
"2025/11/04","日本精線","5659 ","PTS（J）","信用返済売","無期限","特定","申告","東証","2025/10/31","買建","100","1110","1101.2","111000","110120","--","--","--","--","17","2","--","--","--","17","2025/11/06","-897"
"2025/11/04","日本精線","5659 ","PTS（X）","信用返済売","無期限","特定","申告","東証","2025/10/31","買建","100","1109","1101.7","110900","110170","--","--","--","--","17","2","--","--","--","17","2025/11/06","-747"
"2025/11/04","日本精線","5659 ","PTS（O）","信用返済売","無期限","特定","申告","東証","2025/10/31","買建","100","1109","1101.7","110900","110170","--","--","--","--","17","2","--","--","--","17","2025/11/06","-747"
"2025/11/04","日本精線","5659 ","PTS（O）","信用返済売","無期限","特定","申告","東証","2025/10/31","買建","100","1110","1101.6","111000","110160","--","--","--","--","17","2","--","--","--","17","2025/11/06","-857"
"2025/11/04","京阪ホールディングス","9045 ","PTS（X）","信用返済売","無期限","特定","申告","東証","2025/10/16","買建","100","3392","3123.6","339200","312360","--","--","--","--","468","18","--","--","--","468","2025/11/06","-27308"
"2025/11/04","アジア航測","9233 ","東証","信用返済売","無期限","特定","申告","東証","2025/10/31","買建","100","1165","1146","116500","114600","--","--","--","--","17","2","--","--","--","17","2025/11/06","-1917"
"2025/11/04","アジア航測","9233 ","PTS（X）","信用返済売","無期限","特定","申告","東証","2025/10/31","買建","100","1162","1146.6","116200","114660","--","--","--","--","17","2","--","--","--","17","2025/11/06","-1557"
"2025/11/04","アジア航測","9233 ","PTS（X）","信用返済売","無期限","特定","申告","東証","2025/10/31","買建","100","1164","1146.5","116400","114650","--","--","--","--","17","2","--","--","--","17","2025/11/06","-1767"
"2025/11/04","アジア航測","9233 ","PTS（O）","信用返済売","無期限","特定","申告","東証","2025/10/31","買建","100","1163","1146.5","116300","114650","--","--","--","--","17","2","--","--","--","17","2025/11/06","-1667"
"2025/11/04","アジア航測","9233 ","PTS（X）","信用返済売","無期限","特定","申告","東証","2025/10/31","買建","100","1164","1146.3","116400","114630","--","--","--","--","17","2","--","--","--","17","2025/11/06","-1787"
"2025/11/04","ＮＥＸＴ　ＦＵＮＤＳ　日経平均レバレッジ・インデックス連動型","1570 ","PTS（X）","信用返済売","無期限","特定","申告","東証","2025/10/31","買建","15","46940","46105","704100","691575","--","--","--","--","108","2","--","--","--","108","2025/11/06","-12633"
"2025/11/06","コムシスホールディングス","1721 ","PTS（O）","信用返済売","無期限","特定","申告","東証","2025/11/05","買建","100","4040","4115.1","404000","411510","--","--","--","--","123","4","--","--","--","123","2025/11/10","+7387"
"2025/11/06","淺沼組","1852 ","PTS（J）","信用返済売","無期限","特定","申告","東証","2025/10/16","買建","100","888","906.5","88800","90650","--","--","--","--","149","22","--","--","--","149","2025/11/10","+1701"
"2025/11/06","淺沼組","1852 ","PTS（J）","信用返済売","無期限","特定","申告","東証","2025/10/27","買建","100","911","906.5","91100","90650","--","--","--","--","90","13","--","--","--","90","2025/11/10","-540"
"2025/11/06","淺沼組","1852 ","PTS（J）","信用返済売","無期限","特定","申告","東証","2025/10/16","買建","200","888","906.6","177600","181320","--","--","--","--","299","22","--","--","--","299","2025/11/10","+3421"
"2025/11/06","淺沼組","1852 ","PTS（X）","信用返済売","無期限","特定","申告","東証","2025/10/16","買建","200","888","906.6","177600","181320","--","--","--","--","299","22","--","--","--","299","2025/11/10","+3421"
"2025/11/06","豆蔵","202A ","PTS（X）","信用返済売","無期限","特定","申告","東証","2025/11/05","買建","100","2874","2788.7","287400","278870","--","--","--","--","88","4","--","--","--","88","2025/11/10","-8618"
"2025/11/06","ブレインパッド","3655 ","PTS（J）","信用返済売","無期限","特定","申告","東証","2025/10/20","買建","100","1353","2694.2","135300","269420","--","--","--","--","207","20","--","--","--","207","2025/11/10","+133913"
"2025/11/06","ブレインパッド","3655 ","PTS（J）","信用返済売","無期限","特定","申告","東証","2025/10/20","買建","100","1353","2694.5","135300","269450","--","--","--","--","207","20","--","--","--","207","2025/11/10","+133943"
"2025/11/06","ブレインパッド","3655 ","PTS（J）","信用返済売","無期限","特定","申告","東証","2025/10/20","買建","100","1353","2694.1","135300","269410","--","--","--","--","207","20","--","--","--","207","2025/11/10","+133903"
"2025/11/07","ユーザーローカル","3984 ","PTS（X）","信用返済売","無期限","特定","申告","東証","2025/10/31","買建","100","1970","1908.8","197000","190880","--","--","--","--","105","7","--","--","--","105","2025/11/11","-6225"
"2025/11/07","ユーザーローカル","3984 ","PTS（X）","信用返済売","無期限","特定","申告","東証","2025/10/31","買建","100","1970","1908.7","197000","190870","--","--","--","--","105","7","--","--","--","105","2025/11/11","-6235"
"2025/11/07","キヤノン電子","7739 ","PTS（O）","信用返済売","無期限","特定","申告","東証","2025/10/27","買建","100","2832","2601.5","283200","260150","--","--","--","--","304","14","--","--","--","304","2025/11/11","-23354"
"2025/11/10","栗田工業","6370 ","PTS（X）","信用返済売","無期限","特定","申告","東証","2025/10/15","買建","100","5372","6287.2","537200","628720","--","--","--","--","1,112","27","--","--","--","1,112","2025/11/12","+90408"
"2025/11/10","日本電気","6701 ","PTS（X）","信用返済売","無期限","特定","申告","東証","2025/10/20","買建","100","4947","5632","494700","563200","--","--","--","--","834","22","--","--","--","834","2025/11/12","+67666"
"2025/11/11","ショーボンドホールディングス","1414 ","PTS（X）","信用返済売","無期限","特定","申告","東証","2025/11/10","買建","100","4996","4816.7","499600","481670","--","--","--","--","76","2","--","--","--","76","2025/11/13","-18006"
"2025/11/12","ＳＵＭＣＯ","3436 ","PTS（X）","信用返済売","6ヶ月","特定","申告","東証","2025/11/11","買建","100","1476","1233.9","147600","123390","--","--","--","--","22","2","--","--","--","22","2025/11/14","-24232"
"2025/11/12","ＳＵＭＣＯ","3436 ","PTS（X）","信用返済売","6ヶ月","特定","申告","東証","2025/11/11","買建","100","1476","1241.1","147600","124110","--","--","--","--","22","2","--","--","--","22","2025/11/14","-23512"
"2025/11/12","ＳＵＭＣＯ","3436 ","PTS（X）","信用返済売","6ヶ月","特定","申告","東証","2025/11/11","買建","300","1475.5","1233.9","442650","370170","--","--","--","--","67","2","--","--","--","67","2025/11/14","-72547"
"2025/11/12","三井海洋開発","6269 ","東証","信用返済売","無期限","特定","申告","東証","2025/11/10","買建","100","10195","12970","1019500","1297000","--","--","--","--","234","3","--","--","--","234","2025/11/14","+277266"
"2025/11/12","住友商事","8053 ","PTS（X）","信用返済売","無期限","特定","申告","東証","2025/11/06","買建","100","4606","4755.2","460600","475520","--","--","--","--","176","5","--","--","--","176","2025/11/14","+14744"
"2025/11/12","住友商事","8053 ","PTS（X）","信用返済売","無期限","特定","申告","東証","2025/11/06","買建","100","4707","4755.2","470700","475520","--","--","--","--","180","5","--","--","--","180","2025/11/14","+4640"
"2025/11/13","ＭｏｎｏｔａＲＯ","3064 ","PTS（X）","信用返済売","無期限","特定","申告","東証","2025/11/10","買建","100","2280","2264.5","228000","226450","--","--","--","--","104","6","--","--","--","104","2025/11/17","-1654"
"2025/11/13","ＭｏｎｏｔａＲＯ","3064 ","PTS（O）","信用返済売","無期限","特定","申告","東証","2025/11/10","買建","100","2279.5","2264.6","227950","226460","--","--","--","--","104","6","--","--","--","104","2025/11/17","-1594"
"2025/11/13","ＭｏｎｏｔａＲＯ","3064 ","PTS（X）","信用返済売","無期限","特定","申告","東証","2025/11/10","買建","100","2279.5","2264.6","227950","226460","--","--","--","--","104","6","--","--","--","104","2025/11/17","-1594"
"2025/11/13","ユーザーローカル","3984 ","PTS（O）","信用返済売","無期限","特定","申告","東証","2025/11/12","買建","100","1962","2010.1","196200","201010","--","--","--","--","60","4","--","--","--","60","2025/11/17","+4750"
"2025/11/13","ユーザーローカル","3984 ","PTS（X）","信用返済売","無期限","特定","申告","東証","2025/11/12","買建","100","1962","2009.1","196200","200910","--","--","--","--","60","4","--","--","--","60","2025/11/17","+4650"
"2025/11/13","村田製作所","6981 ","PTS（X）","信用返済売","無期限","特定","申告","東証","2025/11/04","買建","100","3513","3172","351300","317200","--","--","--","--","323","12","--","--","--","323","2025/11/17","-34423"
"2025/11/13","野村ホールディングス","8604 ","東証","信用返済売","無期限","特定","申告","東証","2025/11/12","買建","500","1127","1153.5","563500","576750","--","--","--","--","172","4","--","--","--","172","2025/11/17","+13078"
"2025/11/13","野村ホールディングス","8604 ","東証","信用返済売","無期限","特定","申告","東証","2025/11/13","買建","100","1166.5","1153.5","116650","115350","--","--","--","--","8","1","--","--","--","8","2025/11/17","-1308"
"2025/11/14","大末建設","1814 ","PTS（O）","信用返済売","無期限","特定","申告","東証","2025/11/12","買建","100","3660","3560.5","366000","356050","--","--","--","--","140","5","--","--","--","140","2025/11/18","-10090"
